05.03.2026                             Salida dinámica de lista                                                                                   1


		Elemento PEP	Denominación del objeto	Texto de pedido		   Val/MonObj	MonO	Doc.compr.	Usuario	Fe.contab.
		EEX-240009-01	EX-Cambio piping suministros generales			    1.536,46	USD		ZA81613	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Válvula 3" clase 150 conpuerta		        0,79	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Válvulas 4" mariposa clase 150 LUG		        0,36	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Válvula compuerta 2" clase 150		        0,60	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Válvula compuerta 4" clase 160		        0,53	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Válvula de compuerta 6" clase 150		        0,95	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Válvula de compuerta 3" clase 300		        1,64	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Vávula tipo cuchilla 8" clase 150		        0,55	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Flange 6" clase 150		        0,14	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Junta de dilatación 4" Genebre,		        0,42	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Kilos soldadura 6010 - 3/32		        0,07	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Kilos soldadura 7018 - 3/32"		        0,09	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Disco de corte 4.1/2"		        0,05	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Disco desvaste 4.1/2"		        0,05	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Hoja sierra-sable para fierro Hirl-ti		        0,41	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Flange 3" clase 150		        0,06	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Flange 2" clas 150		        0,04	USD	8241811597	AC41273	30.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Flange 4" clase 150		        0,07	USD	8241811597	AC41273	30.04.2024
